,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
61,61,2012-11-09,35.6,36.08,35.26,35.28,6523956,CRM,0.37406243629046265,0.9285280014026214,0.07232813101283209,0.15383721526753186,0.09956245416334422,0.015652390029624572,-0.07508072494938288,-2719943.8313941616,36.011304746481905,36.857868644122064,-1156415.4000000013,-5.475099984337946,36.18600000000002,37.067500000000024,-0.5403354303107761,-0.4054215573186785,-0.13491387299209767,0.2857142857142857,-0.5399999999999991,24.927458100807772,-4756277.6,-1656039.4,35.54,35.82,36.36000000000001,36.64,35.0,34.72,34.18,-0.02729528535980154,-0.07522935779816507,0.16837835262295175,0.2042840348058227,0.6543164372075858,0.922632817424941,0.2666144495501581,0.4282176936019012,0.024390243902442828,-0.003171447245300937,-0.0010347340349566862,-0.19003950025459
62,62,2012-11-12,35.42,35.71,34.94,35.42,4835112,CRM,0.3859246456543112,0.9073883654585841,0.0813810611997057,0.2966578396042747,0.10348120979127566,0.10462254686375824,-0.07332354024757784,-379854.0070518673,35.81420316431968,36.720678170841616,1601657.5999999943,-5.858425935784378,36.01600000000001,36.931000000000026,-0.5850403538600801,-0.4413512864771936,-0.14368906738288656,0.2857142857142857,0.14000000000000054,24.86853667789815,-2441208.8,-1693218.4,35.35666666666667,35.77333333333335,36.126666666666665,36.543333333333344,35.00333333333334,34.586666666666666,34.23333333333333,-0.040888166802057896,-0.07567849686847596,0.13302761211896375,0.18236763585214785,0.7327550750421504,0.9554161397004008,0.3855351741599391,0.44683827208808696,0.623376623376626,-0.0038881228658675564,-0.001137596320360545,-0.20671143497512925
63,63,2012-11-13,35.05,35.67,34.77,35.28,4170332,CRM,0.3903351897587689,0.9064031462953002,0.06413398005048125,0.32260557377798105,0.10490582249381003,0.11149007054581786,-0.07622047536738001,409294.59296148404,35.636135442878825,36.58324358704131,-0.0,-6.2587359800328946,35.68600000000001,36.77900000000001,-0.6244806890424783,-0.4779820360520346,-0.14649865299044373,0.2857142857142857,-0.14000000000000054,24.73299327637558,-4073156.8,-2119279.6,35.24,35.71,36.13999999999999,36.61,34.81,34.34,33.910000000000004,-0.03685503685503689,-0.084587441619097,0.1150609574057978,0.17085903991621,0.5721713030203687,0.96458281137496,0.4459123383291722,0.4582693924241055,0.5666666666666653,-0.004327113262474676,-0.0012444098589253561,-0.2231217647733157
64,64,2012-11-14,35.68,35.95,34.84,34.92,5551668,CRM,0.39452239310520376,0.9335518716510924,0.03668633477777986,0.17300144523964614,0.1045248941813882,0.061353299309626075,-0.08073177058120436,-993819.59164189,35.39742362858503,36.424602218598224,-358278.0,-6.68492553240713,35.34400000000001,36.598000000000006,-0.6767933996119098,-0.5177485374637674,-0.1590448621481424,0.2857142857142857,-0.35999999999999943,24.68832026096486,-4050020.0,-2588048.2,35.23666666666667,35.63333333333335,36.34666666666666,36.74333333333335,34.52333333333334,34.12666666666667,33.41333333333334,-0.02512562814070348,-0.10138960370560984,0.3252113998684749,0.26156700889562384,0.32416045409646305,0.9563505193126116,0.32129891624302537,0.42143361450976985,0.07207207207207057,-0.004782300977878386,-0.0013589532499946786,-0.2441234374550477
65,65,2012-11-15,35.05,35.26,34.86,35.18,4549932,CRM,0.3788190252135081,0.8624059936594661,0.02115239317944395,0.451671539043649,0.09291719762459637,0.13528748287428788,-0.07867148109542499,902965.4736314284,35.32494908572318,36.30590809323721,-37960.00000000054,-7.050490452768898,35.21600000000002,36.41400000000001,-0.6894351828244893,-0.552088787881335,-0.13734639494315434,0.21428571428571427,0.259999999999998,24.55809153573668,-1372182.4,-2564732.6,35.1,35.34,35.5,35.74,34.940000000000005,34.7,34.540000000000006,-0.002834467120181446,-0.07201266156686882,0.3252113998684748,0.2615670088956238,0.18622566955182468,0.8458717085755132,0.4808659441623991,0.4575363992753777,0.8000000000000036,-0.004688963867597265,-0.0014685906605541954,-0.25195207305847583
66,66,2012-11-16,35.34,36.22,35.04,36.08,6346244,CRM,0.3737896332288387,0.904754764733242,0.049062916504113256,0.9056117925800198,0.08492933614328273,0.4213899122440313,-0.07007169393192735,2268324.19571244,35.57663272381585,36.28436666899703,921708.1599999972,-6.912294614857066,35.376000000000026,36.32250000000001,-0.6200650219654946,-0.5656849600056931,-0.054380061959801496,0.2857142857142857,0.8999999999999986,24.52826638627017,1201857.6,-1932381.0,35.77999999999999,36.51999999999999,36.96,37.69999999999999,35.33999999999999,34.599999999999994,34.15999999999999,0.01863354037267071,-0.038379530916844484,0.7400488546201284,0.5154256805656177,0.43391243356237785,0.7712114530160971,0.6143626068429416,0.4979496320606545,0.8813559322033894,-0.003358565279753613,-0.0015487834409072725,-0.22666296965365498
67,67,2012-11-19,36.33,37.39,36.33,36.83,8463260,CRM,0.3653648975991075,0.9587906736541854,0.08810842452335818,0.8730381042455024,0.08036884456464036,0.6858439934070071,-0.05288004498314911,928130.713785112,35.99442181587768,36.336389361824864,6456991.199999995,-6.649712335781813,35.65800000000001,36.288000000000025,-0.4991145531751116,-0.5523701537125687,0.05325560053745715,0.2857142857142857,0.75,24.566159796545463,1927487.2,-1201274.2,36.85,37.37000000000001,37.91000000000001,38.43000000000001,36.31,35.79,35.25,0.04393424036281171,-0.011275167785234946,0.8731292968222165,0.6759048676957585,0.7854425504134767,0.7291061578904177,0.5668077756310927,0.4954467154975313,0.4716981132075462,-0.0010980082172503882,-0.0015860771139903024,-0.18170968367093146
68,68,2012-11-20,36.84,37.38,36.09,36.48,12296512,CRM,0.3727227461944971,1.002954191521125,0.09175780474798016,0.6766890829387217,0.07671001384593985,0.5828928073034603,-0.045878744428985735,-1098892.0190876857,36.15628121058523,36.35008028374565,2380107.1999999913,-6.402610768322019,35.89800000000001,36.249500000000026,-0.4264586086319824,-0.5271867478044233,0.10072813917244093,0.2857142857142857,-0.3500000000000014,24.716387668305522,302251.2,-1396656.2,36.65,37.21,37.94,38.49999999999999,35.91999999999999,35.36,34.629999999999995,0.044673539518900206,-0.011649959360606877,0.7612155205622388,0.6256727370034738,0.8234804187107481,0.6951749117270996,0.4786470442191142,0.4770357788020141,0.302325581395344,0.000535744084564892,-0.0015981710885851776,-0.15481802692829305
69,69,2012-11-21,37.52,39.77,37.45,39.7,27937192,CRM,0.3803390468255777,1.307907243321866,0.18516129454169053,0.9170614566947876,0.11351687870999708,1.3015463090773876,-0.007167513923963176,8071274.105323401,37.33752080705738,36.66940975129893,55890184.84000009,-5.1146538757359385,36.854000000000006,36.38900000000002,-0.10890031882087924,-0.4435265468751767,0.3346262280542975,0.35714285714285715,3.2200000000000064,25.05648694362649,7000023.2,321307.4,38.973333333333336,40.49666666666667,41.293333333333344,42.81666666666667,38.17666666666667,36.653333333333336,35.85666666666667,0.1284820920977829,0.06720430107526881,0.9143214224470012,0.8003213163388083,1.705983587259866,1.0326914248445216,0.6423738915484521,0.5240109181492864,0.9698275862068964,0.00486376622513541,-0.0015129753019622644,-0.04190723497148634
70,70,2012-11-23,39.09,39.92,38.75,39.86,8430444,CRM,0.3884620884561783,1.2895188995979077,0.1944179367901213,0.7817455877595081,0.14057021683143556,1.1501872748887052,0.032638935221610633,5143554.725300161,38.17834720470518,36.973524933719354,-13067309.84000001,-3.7057015592436633,37.790000000000006,36.52200000000003,0.15384084262250752,-0.3240497384483126,0.4778905810708201,0.35714285714285715,0.1599999999999966,25.37094003890191,7776125.6,502934.6,39.51,40.27,40.68000000000001,41.44,39.1,38.34,37.92999999999999,0.10476718403547676,0.07555315704263349,0.9188910022455816,0.8070003576241138,1.836763457824671,1.2834763647794232,0.7444885772716491,0.5644924109167145,0.9487179487179468,0.008810537990902466,-0.0013535609535874481,0.04014854368539216
